2026-09-18T16:14:00Z INFO Logging to /tmp/logs/update_2026-09-18T16-14-00Z.log.
2026-09-18T16:14:00Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-18T16:14:00Z INFO Processing 374 items (49526 already recorded).
2026-09-18T16:28:12Z INFO [152/374] 05d923fd-21c9-4a66-b16e-2733edb17f3c: 114 datasets; 2.7 s; peak memory 414 MiB.
2026-09-18T16:28:13Z INFO [153/374] 05da4c35-5ff5-4d85-8da2-2ccef029ce2b: 48 datasets; 1.3 s; peak memory 414 MiB.
2026-09-18T16:28:15Z INFO [154/374] 05db92d2-7293-4c3e-aec1-5f3dfd6350c4: 116 datasets; 1.5 s; peak memory 414 MiB.
2026-09-18T16:28:18Z INFO [155/374] 05dbc7f8-556a-4ef1-bf43-b5f879147d54: 168 datasets; 3.1 s; peak memory 414 MiB.
2026-09-18T16:29:12Z INFO [156/374] 05dc77fd-77c4-4b6e-b421-6379db323205: 50 datasets; 54.6 s; peak memory 414 MiB.
2026-09-18T16:29:14Z INFO [157/374] 05dc8659-2f41-44a7-a071-552ba7695630: 48 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:29:15Z INFO [158/374] 05dc8ba0-cb03-472c-a3b8-235538b6d9d0: 117 datasets; 1.5 s; peak memory 414 MiB.
2026-09-18T16:29:16Z INFO [159/374] 05dd56f3-3d6d-4079-aa71-b7b3c757c763: 46 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:29:19Z INFO [160/374] 05dedba2-a197-47e6-9eab-a1c7aece477a: 119 datasets; 2.4 s; peak memory 414 MiB.
2026-09-18T16:29:21Z INFO [161/374] 05df9cf5-b792-47f7-9ecb-587cd66e3c39: 158 datasets; 2.6 s; peak memory 414 MiB.
2026-09-18T16:29:22Z INFO [162/374] 05e1a42b-1cbc-4c38-a5fb-2abd6415ba2d: 42 datasets; 1.1 s; peak memory 414 MiB.
2026-09-18T16:29:36Z INFO [163/374] 05e233f6-aa50-41ac-a914-78b1f8085252: 1081 datasets; 13.4 s; peak memory 414 MiB.
2026-09-18T16:29:37Z INFO [164/374] 05e35301-1526-4b02-8dd3-0f7c0ad3c84d: 48 datasets; 1.2 s; peak memory 414 MiB.
2026-09-18T16:29:38Z INFO [165/374] 05e35e26-21d1-4944-80eb-f7baebc8c814: 118 datasets; 1.5 s; peak memory 414 MiB.
2026-09-18T16:29:40Z INFO [166/374] 05e3811a-81c4-413b-b57d-aa3742862023: 116 datasets; 1.6 s; peak memory 414 MiB.
2026-09-18T16:29:44Z INFO [167/374] 05e4dbca-fae4-48dc-84df-e8a4730a1f9f: 156 datasets; 3.8 s; peak memory 414 MiB.
2026-09-18T16:29:46Z INFO [168/374] 05e5c201-ceb8-4d5e-a219-fbbd42541b81: 112 datasets; 1.9 s; peak memory 414 MiB.
2026-09-18T16:29:47Z INFO [169/374] 05e68a0f-027e-4327-a2cc-f4aa621db137: 48 datasets; 1.4 s; peak memory 414 MiB.
2026-09-18T16:29:48Z INFO [170/374] 05e72725-88b9-433c-a51e-1cddc4873824: 55 datasets; 1.0 s; peak memory 414 MiB.
2026-09-18T16:29:49Z INFO [171/374] 05e7f721-5ad1-403f-8b54-8014ca5e75c6: 46 datasets; 1.3 s; peak memory 414 MiB.
2026-09-18T16:29:51Z INFO [172/374] 05e8ef25-1200-4501-a0bb-b64fdf1c7933: 38 datasets; 1.1 s; peak memory 414 MiB.
2026-09-18T16:30:01Z INFO [173/374] 05e8f7a2-d382-4a5d-822a-611b2d0270d2: 339 datasets; 10.2 s; peak memory 414 MiB.
2026-09-18T16:30:02Z INFO [174/374] 05e94777-75dc-43c7-91cd-7e7b2603c805: 48 datasets; 1.1 s; peak memory 414 MiB.
