2026-09-23T16:38:33Z INFO Logging to /tmp/logs/update_2026-09-23T16-38-33Z.log.
2026-09-23T16:38:33Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-23T16:38:33Z INFO Processing 369 items (55049 already recorded).
2026-09-23T16:48:38Z INFO [101/369] 113cd57e-2b38-4b65-a79d-4c389803f19a: 116 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:48:39Z INFO [102/369] 113d28bf-1978-4453-ad70-470a74422bba: 131 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:48:43Z INFO [103/369] 113e0faa-5bff-46cc-b801-a14ece3088e1: 312 datasets; 4.9 s; peak memory 271 MiB.
2026-09-23T16:49:19Z INFO [104/369] 113e8c36-c70a-49ae-8c1a-2bb13d24a133: 52 datasets; 35.3 s; peak memory 271 MiB.
2026-09-23T16:49:20Z INFO [105/369] 113ee642-6f75-4419-ab63-e51eb92c95ca: 116 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:49:21Z INFO [106/369] 11404c9f-97d9-4dea-b641-1fe28e785eaf: 71 datasets; 1.0 s; peak memory 271 MiB.
2026-09-23T16:49:35Z INFO [107/369] 11405314-abdd-4b76-8a3e-eb6aecc5135e: 49 datasets; 14.5 s; peak memory 271 MiB.
2026-09-23T16:49:36Z INFO [108/369] 114109c4-5576-42be-8d19-491c0e397049: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:49:36Z INFO [109/369] 1141fbfb-f13b-4df2-8503-2e91a27af724: 79 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:49:47Z INFO [110/369] 1142f6cd-6d60-49b2-a9e9-e230082b89eb: 44 datasets; 10.9 s; peak memory 271 MiB.
2026-09-23T16:49:48Z INFO [111/369] 1142f9e8-b8e0-4457-bb8a-4ea1c65c2142: 117 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:49:49Z INFO [112/369] 1142fe0b-a545-4dcb-941b-c5d5dd0235c7: 50 datasets; 0.5 s; peak memory 271 MiB.
2026-09-23T16:49:49Z INFO [113/369] 114335f7-8365-41ab-ad9c-6018ef83bb70: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:49:50Z INFO [114/369] 1143b5e0-4ea9-4ed2-80dd-750ab4b55509: 52 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:49:51Z INFO [115/369] 11442762-0e9d-4d0d-8f08-41b76510a47d: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:49:52Z INFO [116/369] 114520a1-c6ee-452c-8fdd-744cfcd5785b: 87 datasets; 1.3 s; peak memory 271 MiB.
2026-09-23T16:50:05Z INFO [117/369] 11456ed0-5b34-49cc-b031-105939592921: 41 datasets; 12.4 s; peak memory 271 MiB.
2026-09-23T16:50:05Z INFO [118/369] 1145d0c1-5d01-4173-a00f-d086bc3a179b: 41 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:50:06Z INFO [119/369] 11460355-214b-4b8c-b7cc-71fbff1588e1: 117 datasets; 1.1 s; peak memory 271 MiB.
2026-09-23T16:50:07Z INFO [120/369] 1146d6fd-c499-4b37-8f80-70830ff9b659: 72 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:50:11Z INFO [121/369] 1146f2d3-4c14-4a48-8db9-077071735053: 451 datasets; 4.2 s; peak memory 271 MiB.
2026-09-23T16:50:12Z INFO [122/369] 114757d1-e973-4106-b6d2-ece6437dde27: 112 datasets; 1.0 s; peak memory 271 MiB.
2026-09-23T16:50:13Z INFO [123/369] 114779e3-aceb-4810-a368-c8c9693b9be7: 48 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:50:14Z INFO [124/369] 11478520-4825-46fd-ad1d-2e79f077feb9: 112 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:50:15Z INFO [125/369] 114832a9-5f14-4f9c-84ff-27cb0069ddca: 114 datasets; 1.6 s; peak memory 271 MiB.
2026-09-23T16:50:16Z INFO [126/369] 114969e2-1c67-4412-9966-a9cf82815aba: 56 datasets; 0.5 s; peak memory 271 MiB.
