2026-09-25T16:59:45Z INFO Logging to /tmp/logs/update_2026-09-25T16-59-45Z.log.
2026-09-25T16:59:45Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-25T16:59:45Z INFO Processing 367 items (57291 already recorded).
2026-09-25T17:05:53Z INFO [88/367] 15cd1dc4-3201-4757-ae6e-a27ded161f71: 115 datasets; 2.8 s; peak memory 256 MiB.
2026-09-25T17:05:55Z INFO [89/367] 15cd7873-e3e5-409e-9454-41f0b68c448a: 48 datasets; 1.4 s; peak memory 256 MiB.
2026-09-25T17:05:56Z INFO [90/367] 15cde387-bdeb-4d9e-8975-0f68d3ed88d2: 48 datasets; 1.4 s; peak memory 256 MiB.
2026-09-25T17:05:57Z INFO [91/367] 15ce07e1-73eb-44a8-b52b-f4a8b50af56e: 35 datasets; 1.0 s; peak memory 256 MiB.
2026-09-25T17:05:59Z INFO [92/367] 15ce2cd2-b508-423e-8246-3f325361e91e: 116 datasets; 1.5 s; peak memory 256 MiB.
2026-09-25T17:06:00Z INFO [93/367] 15cea0a6-b75e-4021-a0de-478214e51049: 116 datasets; 1.4 s; peak memory 256 MiB.
2026-09-25T17:06:02Z INFO [94/367] 15cf9fde-aebd-4d51-a8f8-41245ef5ea97: 112 datasets; 1.6 s; peak memory 256 MiB.
2026-09-25T17:06:03Z INFO [95/367] 15d0465b-a6f2-4a34-ad82-17511ccf1675: 46 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:06:05Z INFO [96/367] 15d10a56-942d-49d5-af73-7d43c4ea9804: 112 datasets; 1.7 s; peak memory 256 MiB.
2026-09-25T17:06:06Z INFO [97/367] 15d1422f-895e-41ce-9554-939ff116f6ef: 48 datasets; 1.2 s; peak memory 256 MiB.
2026-09-25T17:06:08Z INFO [98/367] 15d2399e-429c-4f7c-9f3d-0eb06833fe33: 64 datasets; 1.6 s; peak memory 256 MiB.
2026-09-25T17:06:09Z INFO [99/367] 15d2f686-179e-4d0d-a580-efe37a0f85df: 39 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:06:11Z INFO [100/367] 15d4a6c4-c831-41f8-b417-c10bb64fd7fa: 63 datasets; 1.8 s; peak memory 256 MiB.
2026-09-25T17:06:11Z INFO [100/367] 15d4a6c4-c831-41f8-b417-c10bb64fd7fa: checkpointed 57391 records.
2026-09-25T17:06:12Z INFO [101/367] 15d4babd-4aac-40bb-ace8-db22390ef809: 117 datasets; 1.7 s; peak memory 256 MiB.
2026-09-25T17:06:15Z INFO [102/367] 15d5c06e-8f10-48fc-b49b-1997b721383c: 119 datasets; 2.6 s; peak memory 256 MiB.
2026-09-25T17:06:17Z INFO [103/367] 15d661b3-eb3a-47a9-ac8d-8569f4883275: 112 datasets; 1.6 s; peak memory 256 MiB.
2026-09-25T17:06:27Z INFO [104/367] 15d697a6-c6a1-4706-8813-b24f1cd67796: 336 datasets; 10.2 s; peak memory 256 MiB.
2026-09-25T17:06:33Z INFO [105/367] 15d6dba9-9e03-4642-a9c0-22d3f6da20ab: 534 datasets; 6.6 s; peak memory 256 MiB.
2026-09-25T17:06:36Z INFO [106/367] 15d78fd7-2bea-42e1-abfb-4f51c50c47b0: 186 datasets; 3.0 s; peak memory 256 MiB.
2026-09-25T17:06:39Z INFO [107/367] 15d8f158-2a35-49ad-9912-c77a266f7dc6: 68 datasets; 2.4 s; peak memory 256 MiB.
2026-09-25T17:06:40Z INFO [108/367] 15d99d18-7008-4da1-b0f3-96da1bc29c4d: 52 datasets; 1.4 s; peak memory 256 MiB.
2026-09-25T17:06:42Z INFO [109/367] 15db231e-6916-4e8e-822b-61e7bce38aca: 112 datasets; 1.9 s; peak memory 256 MiB.
2026-09-25T17:06:45Z INFO [110/367] 15db31b4-fe0f-485a-93ac-2011fc623f4b: 114 datasets; 3.1 s; peak memory 256 MiB.
2026-09-25T17:06:47Z INFO [111/367] 15db3aee-16c5-47d2-ad11-ae4c84f1b063: 116 datasets; 1.5 s; peak memory 256 MiB.
2026-09-25T17:06:53Z INFO [112/367] 15db7f30-32ee-483c-886b-efd55f5a97f2: 200 datasets; 6.6 s; peak memory 256 MiB.
2026-09-25T17:06:55Z INFO [113/367] 15dc84b2-0886-4650-b7ff-972f069887be: 46 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:06:56Z INFO [114/367] 15dd2b83-33d8-4d73-8454-960e057e934c: 62 datasets; 1.6 s; peak memory 256 MiB.
2026-09-25T17:06:57Z INFO [115/367] 15dd5925-1bc2-4363-9f75-989c374f87a8: 48 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:07:07Z INFO [116/367] 15ddb06f-9e5c-46b5-9091-80bdd0a410ef: 82 datasets; 10.0 s; peak memory 256 MiB.
2026-09-25T17:07:09Z INFO [117/367] 15ddecd5-c368-46a6-9bdd-869f1806a813: 46 datasets; 1.6 s; peak memory 256 MiB.
2026-09-25T17:07:10Z INFO [118/367] 15de5a45-0c3d-4562-8dba-11914327a684: 48 datasets; 1.3 s; peak memory 256 MiB.
2026-09-25T17:07:12Z INFO [119/367] 15de8523-1cc2-415a-83b8-d174ae0d9292: 66 datasets; 1.8 s; peak memory 256 MiB.
2026-09-25T17:07:14Z INFO [120/367] 15df02db-af6d-43e3-bf29-f8cb3e1aba23: 69 datasets; 2.0 s; peak memory 256 MiB.
2026-09-25T17:07:15Z INFO [121/367] 15df69a2-feb8-462b-9b4f-7994894be232: 46 datasets; 1.0 s; peak memory 256 MiB.
2026-09-25T17:07:17Z INFO [122/367] 15df828e-b37b-40b7-814b-c90e7da59884: 118 datasets; 1.6 s; peak memory 256 MiB.
2026-09-25T17:07:33Z INFO [123/367] 15df8e27-3be4-405e-94b0-296c89e5b53e: 1855 datasets; 15.9 s; peak memory 256 MiB.
2026-09-25T17:07:34Z INFO [124/367] 15e1b46b-d6da-4203-b176-64d0038e5583: 111 datasets; 1.9 s; peak memory 256 MiB.
2026-09-25T17:07:36Z INFO [125/367] 15e29acd-bda0-4530-a75a-fafe08564f6e: 124 datasets; 1.9 s; peak memory 256 MiB.
2026-09-25T17:07:52Z INFO [126/367] 15e2c953-e1db-45d8-bc2c-c6342f19e487: 428 datasets; 16.1 s; peak memory 256 MiB.
2026-09-25T17:07:55Z INFO [127/367] 15e32d95-2ca6-46e5-92f5-5396fe9d8055: 152 datasets; 2.4 s; peak memory 256 MiB.
2026-09-25T17:07:56Z INFO [128/367] 15e34298-0b94-4ac2-80a2-ba1a5fd5052a: 117 datasets; 1.5 s; peak memory 256 MiB.
2026-09-25T17:07:58Z INFO [129/367] 15e48434-bb7b-4a60-9596-0c011e5bb33f: 117 datasets; 1.5 s; peak memory 256 MiB.
