2026-09-26T11:11:31Z INFO Logging to /tmp/logs/update_2026-09-26T11-11-31Z.log.
2026-09-26T11:11:31Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-26T11:11:31Z INFO Processing 384 items (58022 already recorded).
2026-09-26T11:28:44Z INFO [157/384] 176678bd-da74-4357-9d5a-f2310a6e169d: 48 datasets; 0.7 s; peak memory 1225 MiB.
2026-09-26T11:28:51Z INFO [158/384] 17671def-c778-4d5a-be06-2b29871a4c98: 910 datasets; 7.0 s; peak memory 1225 MiB.
2026-09-26T11:28:52Z INFO [159/384] 1768952a-5a89-4975-9513-14fef4d32e5b: 62 datasets; 1.1 s; peak memory 1225 MiB.
2026-09-26T11:28:52Z INFO [160/384] 1768e430-8c7d-4994-98a7-09bb72819ac6: 118 datasets; 0.7 s; peak memory 1225 MiB.
2026-09-26T11:28:53Z INFO [161/384] 17690fb6-89df-4eaf-9c8d-a6412aa6267c: 109 datasets; 1.1 s; peak memory 1225 MiB.
2026-09-26T11:28:54Z INFO [162/384] 176969f1-3efa-4127-accb-adeca12d6165: 50 datasets; 0.5 s; peak memory 1225 MiB.
2026-09-26T11:29:00Z INFO [163/384] 17699963-e94f-4134-b867-15b516a7aff4: 571 datasets; 5.7 s; peak memory 1225 MiB.
2026-09-26T11:29:01Z INFO [164/384] 176a4169-3f41-4c64-a801-f6ce090c6940: 48 datasets; 0.8 s; peak memory 1225 MiB.
2026-09-26T11:29:01Z INFO [165/384] 176ac97f-71c0-43de-9f4b-a64c3c66c658: 112 datasets; 0.9 s; peak memory 1225 MiB.
2026-09-26T11:29:02Z INFO [166/384] 176b13e6-37ac-4bc2-9035-64531e8e8aef: 112 datasets; 0.9 s; peak memory 1225 MiB.
2026-09-26T11:29:03Z INFO [167/384] 176b5466-5310-4ade-81c8-d4cb72852b6b: 48 datasets; 0.7 s; peak memory 1225 MiB.
2026-09-26T11:29:04Z INFO [168/384] 176b584c-be42-4ce2-98e9-89830806f3e1: 66 datasets; 0.9 s; peak memory 1225 MiB.
2026-09-26T11:29:05Z INFO [169/384] 176bbbf4-f5c5-4c84-8fd0-d7cd108faa72: 48 datasets; 0.7 s; peak memory 1225 MiB.
2026-09-26T11:29:05Z INFO [170/384] 176bc9ca-876b-44e7-b6fa-f083f07c1058: 48 datasets; 0.8 s; peak memory 1225 MiB.
2026-09-26T11:29:07Z INFO [171/384] 176c0b52-d34f-4545-badc-9c4db071a32f: 144 datasets; 1.3 s; peak memory 1225 MiB.
2026-09-26T11:29:14Z INFO [172/384] 176c4111-9a62-4de3-9003-0303080072d6: 11477 datasets; 7.1 s; peak memory 1225 MiB.
2026-09-26T11:29:32Z INFO [173/384] 176c5877-bfb4-457d-bedb-6a14c4fd6af3: 48 datasets; 18.5 s; peak memory 1225 MiB.
