2026-09-20T22:20:21Z INFO Logging to /tmp/logs/update_2026-09-20T22-20-21Z.log.
2026-09-20T22:20:21Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-20T22:20:21Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:21:54Z INFO [48/369] 0b140668-8aef-47bd-984a-57d5dc37fec1: 173 datasets; 3.4 s; peak memory 161 MiB.
2026-09-20T22:21:55Z INFO [49/369] 0b140c93-49c9-4815-ad98-a47e04df9969: 118 datasets; 0.7 s; peak memory 161 MiB.
2026-09-20T22:22:00Z INFO [50/369] 0b144ccd-9078-4bae-abb8-c58784bffaca: 842 datasets; 5.5 s; peak memory 161 MiB.
2026-09-20T22:22:00Z INFO [50/369] 0b144ccd-9078-4bae-abb8-c58784bffaca: checkpointed 52180 records.
2026-09-20T22:22:01Z INFO [51/369] 0b14a359-d461-4b79-a076-04fda88e2892: 118 datasets; 0.8 s; peak memory 161 MiB.
2026-09-20T22:22:02Z INFO [52/369] 0b153acc-e280-4929-9436-20d76beff624: 68 datasets; 0.8 s; peak memory 161 MiB.
2026-09-20T22:22:12Z INFO [53/369] 0b153bdd-926e-41ee-b193-9621feefcea2: 48 datasets; 10.5 s; peak memory 161 MiB.
2026-09-20T22:22:13Z INFO [54/369] 0b168f2a-3ba4-4292-99d2-e4ea750ee6bb: 116 datasets; 0.9 s; peak memory 161 MiB.
2026-09-20T22:22:14Z INFO [55/369] 0b170191-8357-4511-bb30-96428a1f3717: 48 datasets; 0.6 s; peak memory 161 MiB.
2026-09-20T22:22:24Z INFO [56/369] 0b1737ed-bdd4-48d0-b0df-5daf258a171b: 914 datasets; 10.7 s; peak memory 161 MiB.
2026-09-20T22:22:25Z INFO [57/369] 0b1751d9-c838-45e0-bcd7-00b485df86cb: 117 datasets; 0.8 s; peak memory 161 MiB.
2026-09-20T22:22:29Z INFO [58/369] 0b17d3eb-7c09-4746-8039-460fd8899511: 538 datasets; 3.7 s; peak memory 161 MiB.
2026-09-20T22:22:32Z INFO [59/369] 0b1915eb-ea6c-4bc7-8110-b235ad1ac4c3: 669 datasets; 2.9 s; peak memory 161 MiB.
2026-09-20T22:22:37Z INFO [60/369] 0b1918db-80bd-4295-ae37-1b07e7f952e2: 1053 datasets; 5.0 s; peak memory 161 MiB.
2026-09-20T22:22:37Z INFO [61/369] 0b195e2a-f0a1-4078-b28c-4f38c40081a1: 48 datasets; 0.5 s; peak memory 161 MiB.
2026-09-20T22:22:38Z INFO [62/369] 0b19f873-f537-4388-87bf-ee8622c0e4b5: 66 datasets; 1.0 s; peak memory 161 MiB.
2026-09-20T22:22:40Z INFO [63/369] 0b1a420d-17c3-410d-aba1-89fd9d46f36a: 90 datasets; 1.7 s; peak memory 161 MiB.
2026-09-20T22:22:40Z INFO [64/369] 0b1a66b8-0bd0-4d95-b240-21c6d3d6500c: 116 datasets; 0.6 s; peak memory 161 MiB.
2026-09-20T22:22:41Z INFO [65/369] 0b1b8f06-b25e-4206-b69e-11f241e40fca: 42 datasets; 0.5 s; peak memory 161 MiB.
2026-09-20T22:22:42Z INFO [66/369] 0b1caea8-ffb5-4062-816f-307577a45c63: 48 datasets; 0.6 s; peak memory 161 MiB.
2026-09-20T22:22:44Z INFO [67/369] 0b1d9622-7cd1-4ad0-ac68-c080c27b14e5: 168 datasets; 2.9 s; peak memory 161 MiB.
2026-09-20T22:22:45Z INFO [68/369] 0b1d98f8-70d5-436c-8a66-aa64ad11ee1d: 46 datasets; 0.4 s; peak memory 161 MiB.
2026-09-20T22:22:45Z INFO [69/369] 0b1f5481-f006-400d-9671-8594365359b8: 33 datasets; 0.4 s; peak memory 161 MiB.
2026-09-20T22:22:50Z INFO [70/369] 0b1fff1c-d192-4be1-b10b-6d4a4eb1dfd6: 366 datasets; 4.5 s; peak memory 161 MiB.
2026-09-20T22:22:50Z INFO [71/369] 0b207236-a71f-4baf-b90e-d4c31160d487: 110 datasets; 0.7 s; peak memory 161 MiB.
2026-09-20T22:22:51Z INFO [72/369] 0b20bc75-27be-46b6-bf35-3f4b37f35f31: 69 datasets; 1.0 s; peak memory 161 MiB.
2026-09-20T22:22:52Z INFO [73/369] 0b21c438-12d7-43f8-8222-5c9ca072db27: 118 datasets; 0.7 s; peak memory 161 MiB.
2026-09-20T22:22:58Z INFO [74/369] 0b22a1f3-d4cc-4e1a-ae28-9f2a54233e84: 49 datasets; 5.5 s; peak memory 161 MiB.
2026-09-20T22:22:58Z INFO [75/369] 0b240139-7927-4c15-9841-602f3634a00a: 72 datasets; 0.6 s; peak memory 161 MiB.
2026-09-20T22:22:59Z INFO [76/369] 0b2574bf-156c-4870-b981-86d84ebe7262: 116 datasets; 0.8 s; peak memory 161 MiB.
2026-09-20T22:23:00Z INFO [77/369] 0b26edd8-7f95-4ec6-ad75-f09e34ebb64e: 119 datasets; 1.2 s; peak memory 161 MiB.
2026-09-20T22:54:08Z INFO [78/369] 0b2719b6-bdcd-4f90-b8b4-d6d5e30da392: 2225 datasets; 1867.3 s; peak memory 1123 MiB.
2026-09-20T22:54:08Z INFO [79/369] 0b279b5c-3981-460b-98e2-c024ee1b2586: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:54:11Z INFO [80/369] 0b27de9b-c376-4285-9717-7ad213eae955: 38 datasets; 2.4 s; peak memory 1123 MiB.
2026-09-20T22:54:11Z INFO [81/369] 0b2899b5-d78f-48f3-a59a-d3fdf691f966: 62 datasets; 0.9 s; peak memory 1123 MiB.
2026-09-20T22:54:12Z INFO [82/369] 0b2925d2-3d1e-473d-894b-f0eeb84dd8b0: 72 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:54:13Z INFO [83/369] 0b2a9b1b-5c69-49b0-9f8b-3e14857f0944: 48 datasets; 0.6 s; peak memory 1123 MiB.
