2026-09-26T00:28:52Z INFO Logging to /tmp/logs/update_2026-09-26T00-28-52Z.log.
2026-09-26T00:28:52Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-26T00:28:53Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:45:06Z INFO [123/364] 16a16cf9-c2b3-48e9-93e4-b7518837bc63: 38 datasets; 1.1 s; peak memory 504 MiB.
2026-09-26T00:45:09Z INFO [124/364] 16a1f2e0-00a5-405e-b6fc-aa1624b7fe1f: 473 datasets; 2.4 s; peak memory 504 MiB.
2026-09-26T00:45:13Z INFO [125/364] 16a2a3b4-d973-48ed-81fa-a07d141eb8c4: 660 datasets; 4.0 s; peak memory 504 MiB.
2026-09-26T00:45:18Z INFO [126/364] 16a2a626-43bb-4154-935a-7a4fc82a368a: 11477 datasets; 4.9 s; peak memory 504 MiB.
2026-09-26T00:45:19Z INFO [127/364] 16a4cc06-ff3c-4ff7-ad4b-1a96043beaa7: 114 datasets; 1.4 s; peak memory 504 MiB.
2026-09-26T00:45:30Z INFO [128/364] 16a52a8b-3c45-4a57-acd9-360ef7f36cee: 899 datasets; 11.1 s; peak memory 504 MiB.
2026-09-26T00:45:31Z INFO [129/364] 16a677fb-edfc-4669-8b49-b5310cc0f939: 74 datasets; 1.0 s; peak memory 504 MiB.
2026-09-26T00:45:32Z INFO [130/364] 16a68d90-eec9-40ef-a569-274a9cab3310: 48 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:45:33Z INFO [131/364] 16a6dae9-51f5-4b44-a72c-65cf3702c3d3: 48 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:45:33Z INFO [132/364] 16a7053a-ff0c-4316-971d-9405da0a2be3: 46 datasets; 0.5 s; peak memory 504 MiB.
2026-09-26T00:45:35Z INFO [133/364] 16a77e90-a7d4-4c71-9392-05d46085d89d: 71 datasets; 1.4 s; peak memory 504 MiB.
2026-09-26T00:45:36Z INFO [134/364] 16a7f4f2-dbb1-406e-aca9-34535fefe530: 71 datasets; 1.1 s; peak memory 504 MiB.
2026-09-26T00:45:37Z INFO [135/364] 16a9728d-5a65-4d70-973f-bd678fd9b60d: 117 datasets; 0.8 s; peak memory 504 MiB.
2026-09-26T00:45:37Z INFO [136/364] 16a9bb69-9d27-41f9-a133-f0c15f4de157: 48 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:45:38Z INFO [137/364] 16aa682a-6077-453f-a7f2-c24c0ce180a4: 62 datasets; 0.8 s; peak memory 504 MiB.
2026-09-26T00:45:45Z INFO [138/364] 16aa73f3-fd83-492e-be7a-03447d9c6e6d: 965 datasets; 7.1 s; peak memory 504 MiB.
2026-09-26T00:45:50Z INFO [139/364] 16aaa9f4-483d-46c7-a292-dd11344664d4: 391 datasets; 4.7 s; peak memory 504 MiB.
2026-09-26T00:45:51Z INFO [140/364] 16abb126-b57a-458d-be22-d80748d35eee: 66 datasets; 1.1 s; peak memory 504 MiB.
2026-09-26T00:45:51Z INFO [141/364] 16abdfe6-505f-4049-8dc1-da6a1e0c6f60: 52 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:45:52Z INFO [142/364] 16ac06a1-1323-4a25-a2bf-083c9b6a2a35: 48 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:45:53Z INFO [143/364] 16ac07a8-9b1a-42e8-af99-2f699636f421: 302 datasets; 0.9 s; peak memory 504 MiB.
2026-09-26T00:45:54Z INFO [144/364] 16ac52b4-6811-440c-9ea4-fe787b9825b5: 113 datasets; 0.8 s; peak memory 504 MiB.
2026-09-26T00:46:04Z INFO [145/364] 16ac5aed-3eaf-4f31-a677-cb2dead7a5ab: 7414 datasets; 10.2 s; peak memory 504 MiB.
2026-09-26T00:46:05Z INFO [146/364] 16ac8a9e-2c5f-429e-a240-0cc3d44a2fd9: 70 datasets; 1.4 s; peak memory 504 MiB.
2026-09-26T00:46:07Z INFO [147/364] 16ace11e-2e77-43bc-9121-b0bde92a6132: 86 datasets; 1.5 s; peak memory 504 MiB.
2026-09-26T00:46:08Z INFO [148/364] 16ad69d2-a6cd-4c9d-a4fa-9a41d23f8ddf: 115 datasets; 1.5 s; peak memory 504 MiB.
2026-09-26T00:46:09Z INFO [149/364] 16ad8799-b9d0-45cc-a15b-0ab72906bc0e: 48 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:47:46Z INFO [150/364] 16ae7b7e-e21e-43d8-9593-1806b7973adc: 414 datasets; 96.4 s; peak memory 504 MiB.
2026-09-26T00:47:46Z INFO [150/364] 16ae7b7e-e21e-43d8-9593-1806b7973adc: checkpointed 57808 records.
2026-09-26T00:47:46Z INFO [151/364] 16aee368-1e2c-4b32-9d7f-c6e90e84c689: 64 datasets; 0.8 s; peak memory 504 MiB.
2026-09-26T00:47:47Z INFO [152/364] 16aeeec1-0b58-4e2c-baf0-aab90648c092: 35 datasets; 0.5 s; peak memory 504 MiB.
2026-09-26T00:47:48Z INFO [153/364] 16afcbc6-817b-4b0b-9ea7-6cba914a368d: 48 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:47:48Z INFO [154/364] 16b01afa-4b27-4410-b2ac-224fe96075fe: 48 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:47:49Z INFO [155/364] 16b0f0eb-5824-43bc-95b3-b838b8d993b7: 62 datasets; 1.0 s; peak memory 504 MiB.
2026-09-26T00:47:50Z INFO [156/364] 16b11de9-aba7-4610-993f-fd129ba40953: 64 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:47:53Z INFO [157/364] 16b2453a-4b9b-46bb-b827-62f01674c02a: 554 datasets; 3.3 s; peak memory 504 MiB.
2026-09-26T00:47:56Z INFO [158/364] 16b34087-bbe7-4b09-b4fb-3c5e8e24ffca: 616 datasets; 3.1 s; peak memory 504 MiB.
2026-09-26T00:47:58Z INFO [159/364] 16b421c3-ce42-49c1-94df-31ba55c638a0: 71 datasets; 1.2 s; peak memory 504 MiB.
2026-09-26T00:48:03Z INFO [160/364] 16b46d12-9f77-41b3-bf0d-cf2343734ee8: 4257 datasets; 5.9 s; peak memory 504 MiB.
2026-09-26T00:48:04Z INFO [161/364] 16b50cab-d6dd-456f-9814-56b2b2b7ea02: 54 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:48:05Z INFO [162/364] 16b73a32-5783-4b03-af4e-a1c1e8f33380: 117 datasets; 0.7 s; peak memory 504 MiB.
2026-09-26T00:48:05Z INFO [163/364] 16b7c3d1-33ec-4b8c-93a6-86bc9742604f: 48 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:48:06Z INFO [164/364] 16b7f424-6f21-49f0-88eb-9c4766c30491: 66 datasets; 1.0 s; peak memory 504 MiB.
2026-09-26T00:48:07Z INFO [165/364] 16b82375-68a1-4484-8101-9943a777cc44: 46 datasets; 0.5 s; peak memory 504 MiB.
2026-09-26T00:48:08Z INFO [166/364] 16b90e8e-b40a-4dfc-9dd4-e710316a1c54: 71 datasets; 1.2 s; peak memory 504 MiB.
2026-09-26T00:48:09Z INFO [167/364] 16ba30e0-eefa-4892-a2b0-2e1dd931840a: 56 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:48:09Z INFO [168/364] 16ba9593-2858-4afe-aa5c-8999a7f0e206: 52 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:48:10Z INFO [169/364] 16bae64b-028a-4422-a834-b3f4b90ebcf8: 56 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:48:10Z INFO [170/364] 16bbe59f-4ad9-4500-99c6-a3066457d354: 92 datasets; 0.6 s; peak memory 504 MiB.
2026-09-26T00:48:11Z INFO [171/364] 16bcc519-976c-4d4e-8eed-c1a04ce4ae76: 48 datasets; 0.5 s; peak memory 504 MiB.
2026-09-26T00:48:11Z INFO [172/364] 16bd0b4a-17c8-40d9-bf99-6832663544e3: 46 datasets; 0.4 s; peak memory 504 MiB.
2026-09-26T00:48:13Z INFO [173/364] 16bf2446-8c0f-466e-bb11-8e931ace2705: 90 datasets; 1.6 s; peak memory 504 MiB.
2026-09-26T00:48:20Z INFO [174/364] 16bf2c73-24cf-42ad-8a5e-f782e8390333: 262 datasets; 7.4 s; peak memory 504 MiB.
2026-09-26T00:48:27Z INFO [175/364] 16bfb91c-409b-40be-ad76-844cddf6c15b: 1076 datasets; 6.6 s; peak memory 504 MiB.
