2026-09-17T16:44:42Z INFO Logging to /tmp/logs/update_2026-09-17T16-44-42Z.log.
2026-09-17T16:44:42Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-17T16:44:42Z INFO Processing 500 items (48030 already recorded).
2026-09-17T16:48:43Z INFO [76/500] 02777391-5056-4835-a6d1-b32817d184ca: 229 datasets; 4.4 s; peak memory 281 MiB.
2026-09-17T16:48:44Z INFO [77/500] 0277c3fb-65b1-447b-b711-518f85f30f7d: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:45Z INFO [78/500] 0277f95e-dd03-4740-a987-14a28bd7752f: 48 datasets; 0.8 s; peak memory 281 MiB.
2026-09-17T16:48:46Z INFO [79/500] 0277fd86-ed3f-4d1e-b0be-2300df8d0398: 170 datasets; 1.2 s; peak memory 281 MiB.
2026-09-17T16:48:47Z INFO [80/500] 0278b8b4-9f79-49e9-918e-e4bd0a99f2c9: 72 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:48Z INFO [81/500] 0278c933-c33d-4ac9-9f3a-14be8ec1ac1e: 57 datasets; 0.7 s; peak memory 281 MiB.
2026-09-17T16:48:50Z INFO [82/500] 02796435-95b1-463b-b902-dc06bc9be988: 114 datasets; 2.0 s; peak memory 281 MiB.
2026-09-17T16:48:51Z INFO [83/500] 02797d31-e8ef-481d-9149-2b81d191d1c0: 118 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:52Z INFO [84/500] 027982cc-b57a-436c-a634-131180f11c2e: 48 datasets; 0.9 s; peak memory 281 MiB.
2026-09-17T16:48:53Z INFO [85/500] 0279a7b7-9dc4-4d21-bf27-f03462f56851: 70 datasets; 1.3 s; peak memory 281 MiB.
2026-09-17T16:48:57Z INFO [86/500] 0279dca2-9cb3-44ba-8483-5c377e21acac: 238 datasets; 4.6 s; peak memory 281 MiB.
2026-09-17T16:48:59Z INFO [87/500] 027a144b-972f-4180-896b-734131520208: 118 datasets; 1.1 s; peak memory 281 MiB.
2026-09-17T16:49:00Z INFO [88/500] 027a7730-53ff-4421-8ef0-a2d633d65e25: 71 datasets; 1.5 s; peak memory 281 MiB.
