2026-09-21T19:13:55Z INFO Logging to /tmp/logs/update_2026-09-21T19-13-55Z.log.
2026-09-21T19:13:55Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-21T19:13:55Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:21:00Z INFO [94/356] 0cb296af-b97f-457b-a243-a267148fd4ea: 48 datasets; 1.2 s; peak memory 212 MiB.
2026-09-21T19:21:02Z INFO [95/356] 0cb3f9b5-0c65-4228-b6b3-cfc3fdbb4a4b: 48 datasets; 1.3 s; peak memory 212 MiB.
2026-09-21T19:21:03Z INFO [96/356] 0cb48758-35c9-4f76-b675-40c9580f7d64: 66 datasets; 2.0 s; peak memory 212 MiB.
2026-09-21T19:21:05Z INFO [97/356] 0cb50ad4-a246-4121-8dac-9cc1160b4023: 48 datasets; 1.3 s; peak memory 212 MiB.
2026-09-21T19:21:06Z INFO [98/356] 0cb6018c-007a-40dd-b5de-fd0117ac3299: 48 datasets; 1.1 s; peak memory 212 MiB.
2026-09-21T19:21:09Z INFO [99/356] 0cb61ed4-f561-4f93-b14c-432de49e6619: 117 datasets; 2.7 s; peak memory 212 MiB.
2026-09-21T19:21:10Z INFO [100/356] 0cb78b9e-5a60-4a42-856a-c1470d38ea91: 65 datasets; 1.5 s; peak memory 212 MiB.
2026-09-21T19:21:10Z INFO [100/356] 0cb78b9e-5a60-4a42-856a-c1470d38ea91: checkpointed 52966 records.
2026-09-21T19:21:12Z INFO [101/356] 0cb7ccaf-7c74-414b-ae72-4e1d8f9e04c1: 76 datasets; 2.1 s; peak memory 212 MiB.
2026-09-21T19:21:14Z INFO [102/356] 0cb9539b-06dc-4fa1-99b6-5335e8cbf0cf: 117 datasets; 1.5 s; peak memory 212 MiB.
2026-09-21T19:21:16Z INFO [103/356] 0cb99df3-ef1d-43a4-87f8-e75ce0b815ae: 69 datasets; 1.9 s; peak memory 212 MiB.
