2026-09-19T10:43:10Z INFO Logging to /tmp/logs/update_2026-09-19T10-43-10Z.log.
2026-09-19T10:43:10Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-19T10:43:10Z INFO Processing 374 items (50269 already recorded).
2026-09-19T11:02:42Z INFO [145/374] 075a3802-7434-4c93-91a0-aeda25695ac3: 114 datasets; 1.7 s; peak memory 1187 MiB.
2026-09-19T11:02:43Z INFO [146/374] 075a66a5-81c2-4a1f-bc55-03203bcd92ce: 62 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:02:43Z INFO [147/374] 075a6c60-b4c2-4459-af51-2cdd73088430: 48 datasets; 0.6 s; peak memory 1187 MiB.
2026-09-19T11:03:07Z INFO [148/374] 075a7f4d-14f7-4c00-abd6-77b2420138c8: 12698 datasets; 23.5 s; peak memory 1187 MiB.
2026-09-19T11:03:08Z INFO [149/374] 075aad05-aeba-4425-bf4b-7d00633417a3: 33 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:03:10Z INFO [150/374] 075af0bb-772e-4c90-b8ec-108485f1c83c: 472 datasets; 2.9 s; peak memory 1187 MiB.
2026-09-19T11:03:11Z INFO [150/374] 075af0bb-772e-4c90-b8ec-108485f1c83c: checkpointed 50419 records.
2026-09-19T11:03:13Z INFO [151/374] 075b7169-f709-4c34-8ef9-17fc53d37e5e: 85 datasets; 2.0 s; peak memory 1187 MiB.
2026-09-19T11:03:16Z INFO [152/374] 075c0e43-9f53-46de-a291-ef6809029819: 200 datasets; 3.3 s; peak memory 1187 MiB.
2026-09-19T11:03:17Z INFO [153/374] 075d4ed5-a566-4121-a011-e569905554ef: 275 datasets; 0.8 s; peak memory 1187 MiB.
2026-09-19T11:03:17Z INFO [154/374] 075e07b1-3365-4d4a-9a93-2045fbf84ee3: 46 datasets; 0.5 s; peak memory 1187 MiB.
2026-09-19T11:03:18Z INFO [155/374] 075e4178-2721-4a32-8f25-62d99cfd010c: 46 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:03:21Z INFO [156/374] 075e5942-01c2-45a8-8373-c6634787298d: 53 datasets; 3.4 s; peak memory 1187 MiB.
2026-09-19T11:03:22Z INFO [157/374] 075e7da4-7592-4c20-82fd-934570ce17f0: 52 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:03:22Z INFO [158/374] 076003fd-1997-40fa-b912-588a4dce50f1: 39 datasets; 0.4 s; peak memory 1187 MiB.
2026-09-19T11:03:23Z INFO [159/374] 076094fd-f3be-4273-96ee-26bffc5405b1: 48 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:03:24Z INFO [160/374] 076142cf-0c4c-40c8-802c-47f477a6693c: 48 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:03:25Z INFO [161/374] 0761e12a-b5f6-420d-8331-7110c42ff932: 112 datasets; 1.1 s; peak memory 1187 MiB.
2026-09-19T11:03:25Z INFO [162/374] 076268e0-bc73-46f0-9795-53adae880490: 70 datasets; 0.5 s; peak memory 1187 MiB.
2026-09-19T11:03:26Z INFO [163/374] 076274bd-6691-49d2-a0b6-e91a84891d89: 72 datasets; 0.9 s; peak memory 1187 MiB.
2026-09-19T11:03:27Z INFO [164/374] 076290cd-18a8-4c8e-934f-46b57e6e282e: 118 datasets; 0.7 s; peak memory 1187 MiB.
2026-09-19T11:03:28Z INFO [165/374] 07636724-679e-42e9-a1b6-fd17e6c44f05: 118 datasets; 0.8 s; peak memory 1187 MiB.
2026-09-19T11:03:28Z INFO [166/374] 076403b2-f9b0-478b-b723-38957c5de4f2: 48 datasets; 0.6 s; peak memory 1187 MiB.
2026-09-19T11:03:29Z INFO [167/374] 07642813-88ef-4ad7-8982-6a90c0785821: 21 datasets; 0.3 s; peak memory 1187 MiB.
